,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,NVDA,290529,3.4071037769317627,10137.546791791916
1,2019-01-31,BUY,TSLA,492,20.584667205810547,9.890526533126831
2,2019-02-28,SELL,NVDA,12749,3.8539793491363525,49144.273248672485
3,2019-02-28,BUY,TSLA,2342,20.982667922973633,2.8649730682373047
4,2019-03-06,SELL,TSLA,2834,18.43600082397461,52250.49130821228
5,2019-03-29,SELL,NVDA,25169,4.4001145362854,162996.97407197952
6,2019-03-29,BUY,TSLA,8775,18.57466697692871,4.2713494300842285
7,2019-04-26,SELL,TSLA,8775,16.5086669921875,144867.8242058754
8,2019-04-30,SELL,NVDA,18473,4.451748847961426,227104.98067426682
9,2019-04-30,BUY,TSLA,14107,16.097999572753906,10.500701427459717
10,2019-05-18,SELL,TSLA,14107,14.0686674118042,198477.1918797493
11,2019-05-31,BUY,NVDA,38293,3.4572558403015137,66088.49398708344
12,2019-05-31,BUY,TSLA,5266,12.54800033569336,10.72421932220459
13,2019-06-28,SELL,TSLA,3520,14.855999946594238,52303.84403133392
14,2019-06-28,BUY,NVDA,12893,4.05670166015625,0.7895269393920898
15,2019-07-31,SELL,NVDA,955,4.3604021072387695,4164.973539352417
16,2019-07-31,BUY,TSLA,257,16.150667190551758,14.252071380615234
17,2019-08-16,SELL,TSLA,2003,14.37600040435791,28809.38088130951
18,2019-08-30,BUY,NVDA,378,4.154504299163818,27238.978256225586
19,2019-08-30,BUY,TSLA,1842,14.780667304992676,12.989080429077148
20,2019-09-30,SELL,NVDA,2049,4.272921562194824,8768.205361366272
21,2019-09-30,BUY,TSLA,543,16.142000198364258,3.0992536544799805
22,2019-10-31,SELL,TSLA,929,21.000667572021484,19512.71942806244
23,2019-10-31,BUY,NFLX,13,291.45001220703125,15723.869269371033
24,2019-10-31,BUY,NVDA,3060,5.05008602142334,270.6060438156128
25,2019-11-29,SELL,TSLA,1455,22.086000442504883,32405.736687660217
26,2019-11-29,BUY,NFLX,12,315.92999267578125,28614.576775550842
27,2019-11-29,BUY,NVDA,5232,5.433221817016602,187.9602289199829
28,2019-12-31,SELL,NFLX,3,323.30999755859375,1157.8902215957642
29,2019-12-31,SELL,NVDA,11901,5.78375244140625,69990.32802677155
30,2019-12-31,SELL,TSLA,1,27.64666748046875,70017.97469425201
31,2019-12-31,BUY,CSCO,1731,40.44773483276367,2.9456987380981445
